通し番号	章	章内の通番	英単語	品詞	訳
119	U3	1	monument	名	記念碑
120	U3	2	atomic bomb	名	原子爆弾
121	U3	3	dome	名	丸屋根
122	U3	4	remind	動	思い出させる
123	U3	5	reminder	名	思い出させるもの
124	U3	6	mission	名	任務、使命
125	U3	7	peace	名	平和
126	U3	8	since	前	~以来
127	U3	9	remind ~ of …	句	~に…を思い出させる
128	U3	10	How long ~?	句	どれくらい長く~?
129	U3	11	childhood	名	幼少期
130	U3	12	known	■	knowの過去分詞
131	U3	13	daughter	名	娘
132	U3	14	realize	動	実感する、気づく
133	U3	15	bombing	名	爆撃
134	U3	16	determined	形	決意した
135	U3	17	tragic	形	悲劇の、悲惨な
136	U3	18	promote	動	促進する
137	U3	19	be determined to ~	句	〜することを決意している
138	U3	20	boyfriend	名	ボーイフレンド
139	U3	21	paint	動	〈絵の具やペンキで〉描く
140	U3	22	textbook	名	教科書
141	U3	23	in line	句	列になって
142	U3	24	report	名	報告(書)
143	U3	25	valuable	形	貴重な、価値のある
144	U3	26	though	接	~にもかかわらず
145	U3	27	victim	名	犠牲者、被害者
146	U3	28	survivor	名	生存者
147	U3	29	generation	名	世代
148	U3	30	war	名	戦争
149	U3	31	past	名	〈ふつうtheをつけて〉過去
150	U3	32	get older	句	古くなる、年をとる
151	U3	33	year by year	句	年々
152	U3	34	pass ~ on (to …)	句	〜を(…)に伝える
153	U3	35	fold	動	折る、たたむ
154	U3	36	paper	名	紙
155	U3	37	crane	名	ツル
156	U3	38	serve	動	〈食事などを〉出す
157	U3	39	pickle	名	〈複数形で〉野菜の酢漬け
158	U3	40	machine	名	機械
159	U3	41	put on ~	句	~を身につける
160	U3	42	alone	副	ひとりで
161	U3	43	personal	形	個人の
162	U3	44	pain	名	苦痛、痛み
163	U3	45	money	名	お金
164	U3	46	inspiration	名	鼓舞(する存在)、ひらめき
165	U3	47	act	動	行動する
166	U3	48	in one's own words	句	自分自身のことばで
167	U3	49	pass down ~	句	(知識などを)渡す
168	U3	50	~, such as …	句	~、たとえば…のような
169	U3	51	think of ~	句	~のことを思い浮かべる
170	U3	52	take action	句	行動を起こす
