通し番号	章	章内の通番	英単語	品詞	訳
79	U2	1	hill	名	丘、坂道
80	U2	2	reach	動	達する
81	U2	3	breathtaking	形	息を呑むような
82	U2	4	whole	名	全体
83	U2	5	travel back in time	句	過去にタイムトラベルする
84	U2	6	we've	短	we haveの短縮形
85	U2	7	amusement park	名	遊園地
86	U2	8	busy	形	忙しい
87	U2	9	I've	短	I have の短縮形
88	U2	10	hotel	名	ホテル
89	U2	11	wait	動	待つ
90	U2	12	left	■	leave の過去形・過去分詞
91	U2	13	hurry	動	急ぐ
92	U2	14	haven't	短	have notの短縮形
93	U2	15	hasn't	短	has notの短縮形
94	U2	16	handout	名	配布資料、プリント
95	U2	17	brush	動	〈ブラシで〉磨く
96	U2	18	tooth	名	歯
97	U2	19	teeth	■	toothの複数形
98	U2	20	already	副	すでに、もう
99	U2	21	done	■	doの過去分詞
100	U2	22	ever	副	これまでに
101	U2	23	seen	■	seeの過去分詞
102	U2	24	recently	副	この間、最近、近年
103	U2	25	reason	名	理由
104	U2	26	return	動	戻る、戻す
105	U2	27	such	形	そんな、こんな、あんな
106	U2	28	like that	句	そんなふうに、あんなふうに
107	U2	29	catch up with ~	句	~に追いつく
108	U2	30	such a ~	句	そんな〜、あんな〜
109	U2	31	he's	短	he has の短縮形
110	U2	32	been	■	beの過去分詞
111	U2	33	twice	副	2回
112	U2	34	seafood	名	魚介類
113	U2	35	once	副	1回、かつて
114	U2	36	photo shoot	名	写真撮影
115	U2	37	agree	動	意見が一致する、賛成する
116	U2	38	correct	形	正しい
117	U2	39	agree with ~	句	<人>に同意する、~と意見が合う
118	U2	40	the same as ~	句	~と同じ
