通し番号	章	章内の通番	英単語	品詞	訳
83	U6	1	trouble	名	困りごと
84	U6	2	twist	動	ひねる、捻挫する
85	U6	3	wrist	名	手首
86	U6	4	be in trouble	句	困ったことになっている
87	U6	5	trick	名	策略、いたずら、手品
88	U6	6	magician	名	魔術師, 手品師
89	U6	7	channel	名	チャンネル
90	U6	8	heal	動	癒す
91	U6	9	conductor	名	指揮者
92	U6	10	solo	名	独唱
93	U6	11	hurt	動	痛める
94	U6	12	series	名	連続、続きもの
95	U6	13	hear of ~	句	〜のことを耳にする
96	U6	14	unbelievable	形	信じられない
97	U6	15	won	■	winの過去形・過去分詞
98	U6	16	strange	形	奇妙な、変な
99	U6	17	London	名	ロンドン
100	U6	18	at the beginning of ~	句	〜の初めに、〜の始まりに
101	U6	19	tale	名	物語
102	U6	20	animated	形	生き生きとした、アニメの
103	U6	21	direct	動	監督する
104	U6	22	heartwarming	形	心温まる
105	YCDI2	1	agricultural	形	農業の
106	YCDI2	2	cultivate	動	耕す
107	YCDI2	3	Zambia	名	ザンビア
108	YCDI2	4	crop	名	作物
109	YCDI2	5	grow	動	育てる、栽培する
110	YCDI2	6	grew	■	growの過去形
111	YCDI2	7	seed	名	種
112	YCDI2	8	harvest	名	収穫(高)
113	YCDI2	9	kilogram	名	キログラム
114	YCDI2	10	manual	名	手引書
115	YCDI2	11	locally	副	地元で
116	YCDI2	12	eco-	形	生態の、環境の
117	YCDI2	13	warrior	名	戦士
118	YCDI2	14	New Zealand	名	ニュージーランド
119	YCDI2	15	land	名	土地
120	YCDI2	16	native	形	原産の
121	YCDI2	17	reduce	動	減少させる
122	YCDI2	18	nature reserve	名	自然保護区
